GP ACCOUNT,NS ACCOUNT
2-90-91-213-100,213100
2-90-91-243-100,243200
2-90-91-410-100,410000
2-90-91-415-100,415100
2-90-91-422-100,422000
2-90-91-621-100,621102
2-90-91-621-101,620101
2-90-91-622-100,622100
2-90-91-810-100,810000
2-90-91-890-100,890000
2-90-91-901-100,901100
2-90-91-910-100,900200
2-90-91-911-100,900200
2-90-91-960-100,900900
2-90-92-128-100,128000
2-90-92-141-100,141100
2-90-92-141-105,141105
2-90-92-162-100,*** NO MAPPED
2-90-92-163-100,*** NO MAPPED
2-90-92-206-100,206100
2-90-92-209-171,209100
2-90-92-211-171,211100
2-90-92-212-100,212100
2-90-92-213-100,213100
2-90-92-243-100,243200
2-90-92-410-100,410000
2-90-92-422-100,422000
2-90-92-621-100,621102
2-90-92-621-101,620101
2-90-92-622-100,622100
2-90-92-901-100,901100
2-90-92-910-100,900200
2-90-92-960-100,900900
2-90-93-128-100,128000
2-90-93-140-100,140100
2-90-93-141-100,141100
2-90-93-141-101,141101
2-90-93-141-105,141105
2-90-93-142-109,142109
2-90-93-143-100,143111
2-90-93-143-101,143101
2-90-93-143-102,143102
2-90-93-143-103,143103
2-90-93-143-105,143112
2-90-93-144-108,144101
2-90-93-146-100,146100
2-90-93-162-100,*** NO MAPPED
2-90-93-163-100,*** NO MAPPED
2-90-93-206-100,206100
2-90-93-209-171,209100
2-90-93-211-171,211100
2-90-93-212-100,212100
2-90-93-213-100,213100
2-90-93-243-100,243200
2-90-93-410-100,410000
2-90-93-415-100,415100
2-90-93-422-100,422000
2-90-93-620-100,620100
2-90-93-621-100,621102
2-90-93-621-101,620101
2-90-93-622-100,622100
2-90-93-890-100,890000
2-90-93-901-100,901100
2-90-93-910-100,900200
2-90-93-921-100,921100
2-90-93-924-100,924100
2-90-93-960-100,900900
2-95-95-101-100,101106
2-95-95-115-100,115000
2-95-95-128-100,128000
2-95-95-129-171,129101
2-95-95-129-191,129101
2-95-95-147-100,147102
2-95-95-147-101,147101
2-95-95-162-100,*** NO MAPPED
2-95-95-163-100,*** NO MAPPED
2-95-95-201-100,201100
2-95-95-205-100,205100
2-95-95-206-100,206100
2-95-95-209-100,209100
2-95-95-209-171,209100
2-95-95-209-180,209101
2-95-95-211-171,211100
2-95-95-212-100,212100
2-95-95-213-100,213100
2-95-95-221-100,221100
2-95-95-231-100,231100
2-95-95-242-100,243100
2-95-95-243-100,243200
2-95-95-246-100,246100
2-95-95-250-100,201100
2-95-95-340-195,340195
2-95-95-410-100,410000
2-95-95-620-100,620100
2-95-95-621-100,621102
2-95-95-621-102,621102
2-95-95-890-100,890000
2-95-95-901-100,901100
2-95-95-902-100,465100
2-95-95-910-100,900200
2-95-95-911-100,900200
2-95-95-960-100,900900
2-95-95-961-100,900900
2-96-96-128-100,128000
